Site,Region,Plot#,Species_Code,Latin_Name,Live_Total,Dead_Total
TNCW_10SE,ME,1015,PIRI,Pinus rigida,18,0
TNCW_10SE,ME,1015,PIST,Pinus strobus,1,0
TNCW_10SE,ME,1014,PIRI,Pinus rigida,16,1
TNCW_10SE,ME,1014,PIST,Pinus strobus,1,0
TNCW_10SE,ME,1013,PIRI,Pinus rigida,6,0
TNCW_10SE,ME,1013,BEPO,Betula populifolia,1,1
TNCW_10SE,ME,1013,PIST,Pinus strobus,1,0
TNCW_10SE,ME,1012,PIRI,Pinus rigida,17,0
TNCW_10SE,ME,1011,PIRI,Pinus rigida,11,0
TNCW_10SE,ME,1010,PIRI,Pinus rigida,9,0
CE_B7_C,MA,499,PIST,Pinus strobus,1,0
CE_B7_C,MA,499,PIRI,Pinus rigida,1,0
CE_B7_C,MA,499,QUCO,Quercus coccinea,1,0
CE_B7_C,MA,499,SAAL,Sassafras albidum,0,1
CE_B7_C,MA,498,PIRI,Pinus rigida,4,0
CE_B7_C,MA,498,QUCO,Quercus coccinea,4,4
CE_B7_C,MA,497,PIRI,Pinus rigida,5,1
CE_B7_C,MA,497,QUAL,Quercus alba,1,0
CE_B7_C,MA,497,QUCO,Quercus coccinea,2,0
CE_B7_C,MA,496,QUCO,Quercus coccinea,4,0
CE_B7_C,MA,496,PIRI,Pinus rigida,1,0
CE_B7_C,MA,495,PIRI,Pinus rigida,7,0
CE_B7_C,MA,494,QUCO,Quercus coccinea,4,0
CE_B7_C,MA,494,PIRI,Pinus rigida,2,0
CE_B7_C,MA,493,QUCO,Quercus coccinea,5,2
CE_B7_C,MA,493,QUAL,Quercus alba,2,0
CE_B7_C,MA,493,ACRU,Acer rubrum,2,0
CE_B7_C,MA,492,QUCO,Quercus coccinea,2,2
CE_B7_C,MA,492,QUAL,Quercus alba,0,1
CE_B7_C,MA,492,PIRI,Pinus rigida,3,0
CE_B7_C,MA,491,QUCO,Quercus coccinea,3,1
CE_B7_C,MA,491,PIRI,Pinus rigida,3,0
CE_B7_C,MA,490,PIRI,Pinus rigida,3,0
CE_B7_C,MA,490,QUCO,Quercus coccinea,4,2
CE_B7_C,MA,489,QUCO,Quercus coccinea,4,2
CE_B7_C,MA,489,PIRI,Pinus rigida,3,1
CE_B7_C,MA,488,ACRU,Acer rubrum,1,0
CE_B7_C,MA,488,PIRI,Pinus rigida,12,0
CE_B7_C,MA,488,QUAL,Quercus alba,1,0
CE_B7_C,MA,487,PIRI,Pinus rigida,6,1
CE_B7_C,MA,487,QUCO,Quercus coccinea,3,0
CE_B7_C,MA,486,PIRI,Pinus rigida,5,1
CE_B7_C,MA,486,QUCO,Quercus coccinea,6,1
CE_B7_C,MA,485,PIRI,Pinus rigida,5,0
CE_B7_C,MA,485,QUCO,Quercus coccinea,4,3
CE_B7_C,MA,484,PIRI,Pinus rigida,6,0
CE_B7_C,MA,484,QUCO,Quercus coccinea,1,1
CE_B7_C,MA,483,PIRI,Pinus rigida,2,0
CE_B7_C,MA,483,QUAL,Quercus alba,1,0
CE_B7_C,MA,483,QUCO,Quercus coccinea,5,0
CE_B7_C,MA,482,QUCO,Quercus coccinea,2,2
CE_B7_C,MA,482,PIRI,Pinus rigida,5,0
CE_B7_C,MA,481,QUCO,Quercus coccinea,4,2
CE_B7_C,MA,481,PIRI,Pinus rigida,5,0
CE_B7_C,MA,481,PIST,Pinus strobus,2,0
CE_B7_C,MA,480,QUCO,Quercus coccinea,4,1
CE_B7_C,MA,480,PIRI,Pinus rigida,1,0
CE_B7_C,MA,479,QUCO,Quercus coccinea,9,0
CE_B7_C,MA,479,PIRI,Pinus rigida,1,0
CE_B7_B,MA,478,QUCO,Quercus coccinea,3,1
CE_B7_B,MA,478,PIRI,Pinus rigida,6,0
CE_B7_B,MA,477,PIRI,Pinus rigida,9,0
CE_B7_B,MA,477,QUCO,Quercus coccinea,3,0
CE_B7_B,MA,476,PIRI,Pinus rigida,8,1
CE_B7_B,MA,476,QUCO,Quercus coccinea,1,0
CE_B7_B,MA,475,PIRI,Pinus rigida,7,1
CE_B7_B,MA,475,QUCO,Quercus coccinea,1,0
CE_B7_B,MA,474,PIRI,Pinus rigida,7,1
CE_B7_B,MA,474,QUCO,Quercus coccinea,6,1
CE_B7_B,MA,474,QUAL,Quercus alba,1,0
CE_B7_B,MA,474,SAAL,Sassafras albidum,1,0
CE_B7_B,MA,473,QUCO,Quercus coccinea,1,2
CE_B7_B,MA,473,PIRI,Pinus rigida,4,0
CE_B7_B,MA,472,PIRI,Pinus rigida,9,0
CE_B7_B,MA,472,QUCO,Quercus coccinea,2,0
CE_B7_B,MA,471,PIRI,Pinus rigida,15,0
CE_B7_B,MA,471,QUCO,Quercus coccinea,1,0
CE_B7_B,MA,470,QUCO,Quercus coccinea,2,0
CE_B7_B,MA,470,PIRI,Pinus rigida,7,2
CE_B7_B,MA,469,PIRI,Pinus rigida,2,0
CE_B7_B,MA,469,NYSY,Nyssa sylvatica,5,0
CE_B7_B,MA,469,QUCO,Quercus coccinea,3,0
CE_B7_B,MA,468,PIRI,Pinus rigida,2,0
CE_B7_B,MA,468,QUCO,Quercus coccinea,3,1
CE_B7_B,MA,467,PIRI,Pinus rigida,12,2
CE_B7_B,MA,466,PIRI,Pinus rigida,8,1
CE_B7_B,MA,465,PIRI,Pinus rigida,10,0
CE_B7_B,MA,464,PIRI,Pinus rigida,7,0
CE_B7_B,MA,464,QUCO,Quercus coccinea,2,0
CE_B7_B,MA,463,PIRI,Pinus rigida,14,1
CE_B7_B,MA,462,QUCO,Quercus coccinea,2,0
CE_B7_B,MA,462,PIRI,Pinus rigida,6,0
CE_B7_B,MA,461,QUCO,Quercus coccinea,10,0
CE_B7_B,MA,461,PIRI,Pinus rigida,4,0
CE_B7_B,MA,460,PIRI,Pinus rigida,4,0
CE_B7_B,MA,460,QUCO,Quercus coccinea,3,1
CE_B7_B,MA,460,ACRU,Acer rubrum,1,0
